Epoch,Loss_0,Loss_0.1,Loss_0.2,Loss_0.3,Loss_0.4,Accuracy_0,Accuracy_0.1,Accuracy_0.2,Accuracy_0.3,Accuracy_0.4
0,0.15674207777784346,0.14569642280880066,0.1506709701970831,0.1575912155004696,0.16312302688665853,0.08125,0.08125,0.1,0.11875,0.11875
16,0.07826254690960424,0.08100594490259343,0.08431698482574375,0.08715521283363618,0.08940811485748028,0.375,0.3375,0.26875,0.18125,0.14375
32,0.06652716417990968,0.0693058691577351,0.07473448449106215,0.08035433465227541,0.08516776904429743,0.4625,0.4875,0.3625,0.2875,0.25625
48,0.06096211280370868,0.06486068675385961,0.07115800835120334,0.07753939223772112,0.08307118403337538,0.54375,0.49375,0.3875,0.30625,0.26875
64,0.054549210036106396,0.058206199091970466,0.06592152657040909,0.07444912749248318,0.08209827098942508,0.59375,0.5375,0.4375,0.325,0.25625
