Epoch,Loss_0,Loss_0.1,Loss_0.2,Loss_0.3,Loss_0.4,Accuracy_0,Accuracy_0.1,Accuracy_0.2,Accuracy_0.3,Accuracy_0.4
0,0.12517552116534106,0.11436236486067283,0.11550916966484988,0.1200818476343675,0.1246294754633734,0.08125,0.1,0.1,0.0875,0.0875
16,0.06482170745147522,0.06844120030904913,0.08375375104828853,0.09843916837277684,0.10894940698865645,0.5125,0.375,0.25625,0.175,0.1625
32,0.07326244847687499,0.07081636224095861,0.08901381477919271,0.10611767400692688,0.11954917936115365,0.48125,0.46875,0.35,0.28125,0.21875
48,0.07786048355417785,0.0806158457665299,0.10265455940168597,0.12094229224400588,0.13246767632543097,0.48125,0.40625,0.26875,0.20625,0.2
64,0.07655578485309117,0.07625356970076354,0.10008145409808963,0.11950219107543254,0.1309720096345892,0.48125,0.44375,0.31875,0.2375,0.20625
